摄像头编号 笼子编号 时段 变化点数
ch01 2-1 10 134397.0
ch01 1-2 10 59473.0
ch01 1-1 10 83179.0
ch01 1-1 4 205958.0
ch01 2-2 10 65814.0
ch01 2-1 10 110065.0
ch01 1-1 6 598.2083
ch01 2-2 6 143986.0
ch01 2-2 10 128918.0
ch01 1-2 6 137068.0
ch01 1-1 4 227435.0
ch01 2-1 6 247386.0
ch01 1-2 4 160465.0
ch01 2-1 4 254949.0
ch01 1-1 5 222260.0
ch01 1-2 5 152948.0
ch01 2-1 5 231027.0
ch01 1-1 5 213692.0
ch01 2-2 4 156370.0
ch01 2-2 4 156300.0
ch01 1-2 5 142890.0
ch01 2-1 5 229607.0
ch01 2-2 5 141350.0
ch01 1-1 5 211764.0
ch01 1-1 6 949964.0
ch01 1-2 5 143004.0
ch01 2-1 5 239556.0
ch01 2-2 5 146420.0
ch01 2-1 4 254338.0
ch02 1-1 21 77066.0
ch03 1-2 4 141646.0
ch03 1-1 4 103872.0
ch03 2-2 4 157385.0
ch03 2-1 4 138439.0
ch03 1-2 4 108493.0
ch03 1-1 4 104035.0
ch03 1-1 4 128666.0
ch03 2-1 4 119236.0
ch03 1-2 4 119236.0
ch03 2-2 3 133076.0
ch03 2-1 3 129770.0
ch03 1-2 3 120611.0
ch03 2-1 4 138685.0
ch03 2-2 3 156704.0
ch03 2-1 3 165243.0
ch03 2-2 4 164421.0
ch03 2-2 4 127091.0
ch03 1-1 6 129269.0
ch03 1-2 5 138271.0
ch03 1-2 7 53223.0
ch03 1-1 7 75876.0
ch03 2-2 6 97394.0
ch03 2-1 6 86840.0
ch03 2-1 7 87787.0
ch03 1-2 6 49327.0
ch03 1-1 6 78748.0
ch03 2-2 6 100394.0
ch03 2-1 6 71694.0
ch03 1-1 5 109542.0
ch03 1-2 6 53949.0
ch03 2-2 6 88923.0
ch03 2-1 6 116844.0
ch03 1-2 6 104575.0
ch03 2-2 5 134631.0
ch03 2-1 5 126385.0
ch03 1-2 5 122402.0
ch03 1-1 5 147437.0
ch03 2-2 5 142183.0
ch03 2-1 5 134502.0
ch03 1-1 6 51440.0
ch03 1-2 3 101277.0
ch03 1-2 1 125564.0
ch03 2-2 2 156914.0
ch03 1-2 0 104280.0
ch03 1-1 0 110281.0
ch03 2-2 0 97125.0
ch03 2-1 0 151828.0
ch03 1-2 0 92558.0
ch03 1-1 0 121852.0
ch02 1-2 24 125037.0
ch02 1-1 24 153309.0
ch02 1-2 23 165304.0
ch03 2-1 0 139495.0
ch02 1-1 23 130295.0
ch02 1-1 22 195886.0
ch02 1-2 22 170737.0
ch02 1-1 22 178533.0
ch02 1-2 22 84907.0
ch02 1-2 21 85405.0
ch02 1-1 22 79858.0
ch02 1-2 21 89191.0
ch02 1-1 21 65203.0
ch03 2-2 7 125292.0
ch02 1-2 22 194472.0
ch03 1-1 3 141367.0
ch03 2-2 0 134387.0
ch03 1-2 0 110454.0
ch03 2-1 2 151561.0
ch03 1-2 2 108773.0
ch03 1-1 2 125952.0
ch03 2-2 2 154801.0
ch03 2-1 2 136986.0
ch03 1-2 2 135941.0
ch03 1-1 2 122043.0
ch03 2-2 2 162210.0
ch03 2-1 2 172377.0
ch03 1-1 0 140009.0
ch03 1-2 2 113919.0
ch03 2-2 1 137168.0
ch03 2-1 1 132378.0
ch03 1-2 1 103851.0
ch03 1-1 1 113769.0
ch03 2-2 1 154144.0
ch03 2-1 1 144086.0
ch03 1-1 1 124440.0
ch03 2-2 0 146740.0
ch03 2-1 0 164005.0
ch03 1-1 2 128780.0
ch03 1-1 7 58701.0
ch03 1-1 3 109600.0
ch03 2-1 7 106139.0
ch03 1-2 14 100091.0
ch03 1-1 14 76797.0
ch03 1-2 14 79492.0
ch03 1-1 14 69885.0
ch03 2-1 13 101934.0
ch03 1-2 13 30612.0
ch03 1-1 13 43475.0
ch03 2-2 13 91289.0
ch03 2-1 13 87373.0
ch03 1-1 15 79686.0
ch03 1-2 13 50922.0
ch03 2-2 13 68277.0
ch03 2-1 13 43277.0
ch03 1-2 13 38211.0
ch03 1-1 13 36165.0
ch03 2-2 12 93857.0
ch03 2-1 12 50830.0
ch03 1-2 12 56230.0
ch03 1-1 12 36830.0
ch03 2-2 12 55566.0
ch03 1-1 13 52649.0
ch03 2-1 12 70466.0
ch03 1-2 15 100845.0
ch03 2-2 15 112748.0
ch03 2-1 19 97234.0
ch02 1-2 20 102903.0
ch03 1-2 19 132962.0
ch03 1-1 19 91676.0
ch03 2-2 18 141412.0
ch03 2-1 18 127659.0
ch03 1-2 18 93211.0
ch03 1-1 18 115824.0
ch03 2-2 16 85746.0
ch03 2-1 15 152107.0
ch03 2-1 16 58347.0
ch03 1-1 16 44524.0
ch03 1-1 16 64606.0
ch03 2-2 15 52869.0
ch03 1-2 15 118650.0
ch03 1-1 15 61717.0
ch03 2-2 15 40032.0
ch03 2-1 15 81410.0
ch03 1-2 15 54965.0
ch03 1-1 15 50915.0
ch03 1-2 16 62247.0
ch03 1-2 7 60507.0
ch03 1-2 12 56301.0
ch03 2-2 11 123728.0
ch03 2-1 9 73932.0
ch03 1-2 9 54481.0
ch03 1-1 9 48414.0
ch03 2-2 9 80942.0
ch03 2-1 9 47879.0
ch03 1-2 9 52609.0
ch03 1-1 9 27139.0
ch03 2-2 8 97477.0
ch03 2-1 8 91146.0
ch03 2-2 9 104420.0
ch03 1-2 8 54893.0
ch03 2-2 8 109459.0
ch03 2-1 8 98699.0
ch03 1-2 8 86937.0
ch03 1-1 8 65302.0
ch03 2-2 8 105834.0
ch03 2-1 8 94102.0
ch03 1-2 8 53801.0
ch03 1-1 8 71946.0
ch03 2-2 7 115381.0
ch03 1-1 8 47482.0
ch03 1-1 12 44918.0
ch03 1-1 10 57621.0
ch03 2-1 10 59954.0
ch03 2-1 11 90606.0
ch03 1-2 11 67137.0
ch03 1-1 11 54755.0
ch03 2-2 11 289561.0
ch03 2-1 11 269295.0
ch03 1-2 11 240560.0
ch03 1-1 11 161682.0
ch03 2-2 11 290773.0
ch03 2-1 11 42995.0
ch03 1-2 10 55359.0
ch03 1-2 11 52228.0
ch03 2-2 10 32187.0
ch03 2-1 10 31055.0
ch03 1-2 10 34161.0
ch03 1-1 10 26492.0
ch03 2-2 10 101387.0
ch03 2-1 10 74938.0
ch03 1-2 10 54403.0
ch03 1-1 10 44329.0
ch03 2-2 10 76624.0
ch03 1-1 11 50465.0
ch02 1-1 20 72273.0
ch02 2-2 11 94849.0
ch02 1-1 20 73860.0
ch02 1-2 6 89903.0
ch02 2-1 6 91906.0
ch02 2-2 6 114113.0
ch02 1-1 7 73364.0
ch02 1-2 7 95249.0
ch02 2-1 7 76801.0
ch02 2-2 7 116129.0
ch02 1-1 7 74467.0
ch02 1-2 7 89972.0
ch02 2-1 7 94317.0
ch02 2-2 7 139349.0
ch02 1-1 8 74424.0
ch02 1-2 8 122412.0
ch02 2-1 8 96447.0
ch02 2-2 8 135508.0
ch02 1-1 8 66185.0
ch02 1-2 8 111696.0
ch02 2-1 8 101988.0
ch02 2-2 8 121972.0
ch02 1-1 6 72040.0
ch02 1-1 8 63029.0
ch02 2-2 6 140977.0
ch02 1-2 6 124735.0
ch02 2-1 4 106240.0
ch02 2-2 4 160111.0
ch02 1-1 4 119014.0
ch02 1-2 4 122795.0
ch02 2-1 4 99528.0
ch02 2-2 4 151865.0
ch02 1-1 5 102891.0
ch02 1-2 5 123187.0
ch02 2-1 5 105185.0
ch02 2-2 5 132071.0
ch02 1-1 5 104562.0
ch02 1-2 5 125526.0
ch02 2-1 5 98011.0
ch02 2-2 5 146163.0
ch02 1-1 6 109744.0
ch02 1-2 6 119189.0
